code,entry_date,exit_date,entry_price,exit_price,shares,pnl_krw,pnl_pct,hold_days,reason
180640,2014-06-09,2014-06-16,26997.0,25107.21,73,-145624.6274293065,-0.07380694743940253,5,stop
086280,2014-06-09,2014-06-17,138053.0,128389.29,14,-142813.85586068314,-0.07380694743940264,6,stop
000660,2014-06-09,2014-06-23,47000.0,48900.0,42,71474.89880999993,0.03616655845832106,10,time
161390,2014-06-09,2014-06-23,63000.0,61700.0,31,-48184.9781849999,-0.024643943625382025,10,time
006400,2014-06-09,2014-06-23,166924.0,164967.0,11,-28988.504632450175,-0.01576939848896486,10,time
067310,2014-06-16,2014-06-30,4915.0,5485.0,436,239005.15390599985,0.11140329544074579,10,time
051910,2014-06-17,2014-07-01,288500.0,294000.0,6,25808.73014999996,0.014892594073221188,10,time
000250,2014-07-01,2014-07-08,8060.0,9672.0,218,343179.1428051994,0.19508780975560924,5,target
095610,2014-06-25,2014-07-09,8970.0,10050.0,216,224651.93443200015,0.11581498402488632,10,time
010130,2014-06-25,2014-07-09,391000.0,411000.0,4,73354.57120000012,0.04684801749692147,10,time
035720,2014-06-25,2014-07-09,23222.0,22761.0,83,-46049.17599604977,-0.023864093035073308,10,time
066570,2014-07-09,2014-07-11,77300.0,71889.0,24,-137084.13507479988,-0.07380694743940253,2,stop
058470,2014-06-30,2014-07-14,6166.0,7399.2,449,540728.4386294605,0.1950878097556099,10,target
000720,2014-07-08,2014-07-22,59837.0,60227.0,35,5026.919348500203,0.0023975343871838195,10,time
082920,2014-07-09,2014-07-23,3087.0,3201.0,614,62021.84624459967,0.03268439667090628,10,time
034220,2014-07-09,2014-07-23,30686.0,30224.0,61,-35770.11733209994,-0.01908758711753611,10,time
021240,2014-07-11,2014-07-25,92800.0,92200.0,19,-18592.338469999842,-0.010532542569439585,10,time
000250,2014-07-14,2014-07-28,9850.0,9650.0,338,-81044.84908000007,-0.024314943812044687,10,time
180640,2014-07-23,2014-07-30,26752.0,24879.359999999997,70,-138372.80870336038,-0.07380694743940275,5,stop
098460,2014-07-22,2014-08-05,5060.0,5470.0,415,161042.5791124995,0.07660249001369945,10,time
047810,2014-07-23,2014-08-06,34200.0,35950.0,55,88257.5359875001,0.04686663646964351,10,time
138040,2014-08-05,2014-08-07,7677.0,7139.61,299,-169613.02101434022,-0.07380694743940286,2,stop
001440,2014-08-06,2014-08-07,53813.0,50046.09,36,-143148.29031268205,-0.07380694743940264,1,stop
003550,2014-07-25,2014-08-08,62347.0,64521.0,28,53538.252989199944,0.03063313088095243,10,time
047040,2014-07-28,2014-08-08,9580.0,8909.4,343,-242804.14122880995,-0.07380694743940253,9,stop
055550,2014-07-30,2014-08-13,51400.0,51200.0,33,-13531.909709999803,-0.007968614470051594,10,time
033780,2014-08-08,2014-08-13,102000.0,94860.0,24,-180887.215752,-0.07380694743940253,3,stop
005940,2014-08-13,2014-08-18,12000.0,11160.0,166,-147192.5383080002,-0.07380694743940264,2,stop
015760,2014-08-07,2014-08-21,44150.0,41059.5,44,-143542.28158490034,-0.07380694743940275,9,stop
066570,2014-08-07,2014-08-22,79400.0,74500.0,24,-125062.83923999988,-0.06555371718311376,10,time
017670,2014-08-08,2014-08-25,46239.0,47534.0,53,58389.33708884986,0.02379852413408501,10,time
090430,2014-08-13,2014-08-28,200051.0,215656.0,10,147391.4667155,0.07359230354866075,10,time
005830,2014-08-18,2014-09-01,61300.0,62400.0,30,25366.124550000066,0.013777587394644408,10,time
005490,2014-08-21,2014-09-04,347500.0,339500.0,5,-47002.7004999998,-0.027020835942375254,10,time
098460,2014-08-22,2014-09-05,5570.0,5480.0,334,-37595.59093299974,-0.020185338500786743,10,time
058610,2014-08-25,2014-09-11,7070.0,7160.0,354,21509.182130999863,0.008584243028072258,10,time
105560,2014-09-04,2014-09-15,43250.0,40222.5,39,-124637.05521637527,-0.07380694743940275,4,stop
006800,2014-08-28,2014-09-16,11485.0,11193.0,187,-63244.708326799795,-0.029413883718289124,10,time
000270,2014-09-01,2014-09-18,61400.0,57101.99999999999,30,-136108.76283300016,-0.07380694743940264,10,stop
032640,2014-09-05,2014-09-24,11950.0,12550.0,155,85134.9404000002,0.04591018217802656,10,time
005490,2014-09-11,2014-09-24,353000.0,328290.0,7,-182586.72799149947,-0.07380694743940241,9,stop
034730,2014-09-18,2014-09-25,217500.0,261000.0,7,297362.8092750001,0.1950878097556097,5,target
034220,2014-09-15,2014-09-29,32627.0,32628.0,49,-6503.0310530499555,-0.004062967871547363,10,time
005290,2014-09-16,2014-09-30,4040.0,3870.0,520,-96748.89093999984,-0.046000448895583856,10,time
005830,2014-09-25,2014-09-30,62300.0,57938.99999999999,29,-133500.38100455003,-0.07380694743940264,3,stop
180640,2014-09-24,2014-10-07,25334.0,23560.62,87,-162861.89337251685,-0.07380694743940253,8,stop
017670,2014-09-30,2014-10-07,51070.0,47495.1,36,-135851.61924198014,-0.07380694743940264,4,stop
028300,2014-09-24,2014-10-10,2484.0,2589.0,888,83925.34704359993,0.038004005453996514,10,time
003550,2014-09-29,2014-10-14,72266.0,67207.37999999999,22,-117477.08404319827,-0.07380694743940275,9,stop
047810,2014-09-30,2014-10-16,40650.0,39100.0,45,-77041.00586250005,-0.04206778676825884,10,time
000250,2014-11-11,2014-11-14,10300.0,10400.0,180,10348.872300000163,0.005575503354234623,3,time
028300,2014-11-18,2014-11-20,2817.0,3098.7000000000003,660,177754.43724390026,0.09549715894264232,2,target
028300,2014-11-24,2014-11-25,2875.0,2788.75,659,-64435.73869806249,-0.03397068711421558,1,stop
028300,2014-11-27,2014-11-28,2819.0,3100.9,667,179767.25130963512,0.0954971589426421,1,target
028300,2015-03-11,2015-03-12,5012.0,5513.200000000001,382,183047.62291508052,0.09549715894264232,1,target
000990,2015-03-30,2015-04-02,6000.0,5820.0,325,-66319.02907499997,-0.03397068711421558,3,stop
010060,2015-04-02,2015-04-07,78353.0,83042.0,24,104497.68789480021,0.055506084618386575,3,time
039490,2015-04-07,2015-04-08,81200.0,78764.0,24,-66278.2173647997,-0.03397068711421547,1,stop
021240,2015-04-08,2015-04-09,101500.0,98455.0,18,-62135.82877949998,-0.03397068711421558,1,stop
028300,2015-04-07,2015-04-10,6562.0,7546.299999999999,299,285397.24794951454,0.14529248434912567,3,target
064760,2015-04-10,2015-04-13,14500.0,16675.0,162,341684.58278249996,0.1452924843491259,1,target
028300,2015-04-13,2015-04-14,7858.0,7622.26,343,-91666.29802649887,-0.03397068711421558,1,stop
196170,2015-04-14,2015-04-15,6376.0,6184.72,409,-88690.10406016372,-0.03397068711421547,1,stop
058470,2015-04-07,2015-04-16,8619.0,8870.0,227,48790.847378549865,0.024909006510060783,7,time
028050,2015-04-07,2015-04-16,26805.0,28987.0,73,150797.20258469973,0.07697601011583188,7,time
096770,2015-04-07,2015-04-16,102822.0,118245.29999999999,19,284172.4781806648,0.14529248434912567,7,target
064760,2015-04-15,2015-04-16,16650.0,16150.5,151,-85505.63433277514,-0.03397068711421569,1,stop
010170,2015-04-16,2015-04-17,1007.0,976.79,2180,-74660.26244471036,-0.03397068711421569,1,stop
051910,2015-04-16,2015-04-17,277000.0,268690.0,7,-65944.92173149996,-0.03397068711421558,1,stop
034020,2015-04-16,2015-04-17,24710.0,23968.7,88,-73953.53966308013,-0.03397068711421569,1,stop
009540,2015-04-09,2015-04-20,124452.0,129904.0,14,68962.5726300003,0.039535234725655455,7,time
016360,2015-04-16,2015-04-20,64697.0,62756.09,33,-72610.8684072583,-0.03397068711421547,2,stop
068270,2015-04-17,2015-04-20,65680.0,63709.6,32,-71480.35002496,-0.03397068711421558,1,stop
024110,2015-04-17,2015-04-20,15150.0,14695.5,141,-72649.94561977522,-0.03397068711421569,1,stop
005830,2015-04-20,2015-04-21,52700.0,51119.0,38,-68107.94237209996,-0.03397068711421558,1,stop
000100,2015-04-20,2015-04-22,31718.0,30766.46,63,-67959.4557664888,-0.03397068711421547,2,stop
128940,2015-04-21,2015-04-22,293880.0,285063.6,6,-59968.72696788004,-0.03397068711421558,1,stop
141080,2015-04-22,2015-04-23,13262.0,12864.14,144,-64949.38808068819,-0.03397068711421569,1,stop
009830,2015-04-22,2015-04-23,22130.0,21466.1,86,-64726.692182030296,-0.03397068711421569,1,stop
064760,2015-04-20,2015-04-24,17400.0,16878.0,115,-68053.52675849991,-0.03397068711421558,4,stop
032820,2015-04-23,2015-04-24,705.0,683.85,2622,-62867.37868483504,-0.03397068711421558,1,stop
078600,2015-04-17,2015-04-27,6330.0,6140.099999999999,338,-72765.23870108975,-0.03397068711421547,6,stop
000990,2015-04-24,2015-04-27,7710.0,7478.7,240,-62931.65712840017,-0.03397068711421569,1,stop
039030,2015-04-24,2015-04-27,116900.0,113393.0,15,-59636.11152974982,-0.03397068711421547,1,stop
196170,2015-04-20,2015-04-28,6195.0,6009.15,323,-68053.01661212253,-0.03397068711421558,6,stop
009830,2015-04-27,2015-04-28,22613.0,21934.61,86,-66139.38953060308,-0.03397068711421558,1,stop
128940,2015-04-24,2015-04-30,274556.0,315739.39999999997,6,239620.82327057957,0.14529248434912567,4,target
078930,2015-04-27,2015-04-30,50100.0,48597.0,39,-66451.66713314992,-0.03397068711421558,3,stop
036570,2015-04-28,2015-04-30,212000.0,205640.0,9,-64890.61921800021,-0.03397068711421569,2,stop
066970,2015-04-28,2015-05-04,7981.0,7741.57,239,-64872.219938651426,-0.03397068711421558,3,stop
000990,2015-04-30,2015-05-04,8400.0,8148.0,223,-63707.07962219999,-0.03397068711421558,1,stop
